Company,Ticker,Shares,BEP Price,Total Purchase Cost
ALPHABET INC. - CLASS A,GOOGL,10,136.35,"1,079.85"
APPLE INC.,AAPL,10,137.53,"1,049.99"
CANADIAN NATIONAL RAIL,CNI,16,100.7,"1,244.32"
COCA-COLA COMPANY,KO,12,48.44,443.65
COLGATE-PALMOLIVE COMP,CL,10,82,649.88
MCDONALDS CORPORATION,MCD,5,291.11,"1,116.46"
NIKE INC.,NKE,23,91.26,"1,621.28"
PROGRESSIVE CORPORATION,PGR,6,173.3,845.88
TJX COMPANIES INC.,TJX,10,104,819.87
VISA INC.,V,6,201.66,899.19
WAL-MART STORES INC,WMT,10,115.1,767.6
WASTE MANAGEMENT INC.,WM,10,192.83,"1,416.77"
WOLTERS KLUWER,WKL,27,107.94,"2,542.40"
