Company,Ticker,Shares,Price ,Currency,Total Cost
ALPHABET INC. - CLASS A,GOOGL,10,136.35,USD,"1,078.72"
APPLE INC.,AAPL,10,137.53,USD,"1,049.84"
CANADIAN NATIONAL RAIL,CNI,16,100.70,USD,"1,239.36"
COCA-COLA COMPANY,KO,12,48.44,USD,442.71
COLGATE-PALMOLIVE COMP,CL,10,82.00,USD,646.83
MCDONALDS CORPORATION,MCD,5,291.11,USD,"1,115.82"
NIKE INC.,NKE,23,91.26,USD,"1,614.65"
PROGRESSIVE CORPORATION,PGR,6,173.30,USD,845.40
TJX COMPANIES INC.,TJX,10,104.00,USD,816.81
VISA INC.,V,6,201.66,USD,899.65
WAL-MART STORES INC,WMT,10,115.10,USD,764.52
WASTE MANAGEMENT INC.,WM,10,192.83,USD,"1,415.85"
WOLTERS KLUWER,WKL,23,114.48,EUR,"2,273.97"
